id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
58512,https://www.airbnb.com/rooms/58512,20240615011618,2024-06-15,city scrape,Stylish & cozy 3BR near Sagrada Familia,"Welcome to my home!<br /><br />My lovely 3 bedroom apartment is located in a traditional Catalan neighborhood close to Hospital Sant Pau (10 min walk) and the iconic Sagrada Familia (20 min walk). Enjoy exploring Barcelona with ease - two nearest metro stations:  Camp de l’Arpa (4 min by walk) and Clot (6 min by walk). Very safe area, quiet at night and family-friendly.<br />Gorgeous wooden floors, open ceilings, a modern and stylish decor and a beautifully integrated American kitchen add to the flat’s charm.","The apartment is located in Camp de l'arpa del Clot, which is a traditional residential neighborhood located close to the amazing Temple of Sagrada Familia (20 min walk), the modernist Hospital Sant Pau (15 min walk) and the center of Barcelona (15 min metro). <br />You will be located in a charming area with the best in the city’s everyday's life alongside many shops, bars, and terraces. You will have the chance to taste the typical Spanish and Catalan gastronomy in the restaurants in the area! Check Rogent street, a pedestrian street just 2 min. from the apartment, with plenty of tapas bars. Don't miss Tipo Tapa!<br /><br />This area is perfectly connected to the city center and you have different public transport connections, as well as a direct connection by train to the airport.",https://a0.muscache.com/pictures/92ddeb30-589a-4346-b065-4fce6ddc2946.jpg,280070,https://www.airbnb.com/users/show/280070,Cristina,2010-11-06,"Barcelona, Spain","I'm a lecturer in Digital Media.

I'm easy going and laid back. I love traveling and meeting new people.
I enjoy cooking and dancing!
",within an hour,100%,96%,f,https://a0.muscache.com/im/pictures/user/User-280070/original/9982af11-59ae-4cfa-b1e7-6fc594f7dfdb.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-280070/original/9982af11-59ae-4cfa-b1e7-6fc594f7dfdb.jpeg?aki_policy=profile_x_medium,El Camp de l'Arpa del Clot,1,1,"['email', 'phone']",t,t,"Barcelona, Catalonia, Spain",el Camp de l'Arpa del Clot,Sant Martí,41.41129,2.18193,Entire rental unit,Entire home/apt,5,2.0,2 baths,3,3,"[""Cleaning products"", ""Kitchen"", ""Dining table"", ""Host greets you"", ""Room-darkening shades"", ""Extra pillows and blankets"", ""Hair dryer"", ""Air conditioning"", ""Long term stays allowed"", ""Books and reading material"", ""Clothing storage"", ""Essentials"", ""Hot water kettle"", ""Coffee maker"", ""Cooking basics"", ""Wine glasses"", ""Toaster"", ""Refrigerator"", ""Freezer"", ""Drying rack for clothing"", ""Bathtub"", ""Hangers"", ""Free washer \u2013 In unit"", ""Iron"", ""Fire extinguisher"", ""Dishes and silverware"", ""Laundromat nearby"", ""Ceiling fan"", ""Bed linens"", ""Wifi"", ""Heating"", ""Stove"", ""Dedicated workspace"", ""Hot water"", ""Oven"", ""Microwave"", ""Bidet"", ""TV""]",$145.00,10,90,4,10,5,90,9.6,89.0,,t,2,4,5,19,2024-06-15,383,3,2,2011-04-08,2024-06-07,4.48,4.52,4.44,4.65,4.77,4.35,4.5,HUTB-009592,f,1,1,0,0,2.38
68547,https://www.airbnb.com/rooms/68547,20240615011618,2024-06-15,city scrape,Spacious 2 bedroom flat special offer 40% OFF,"The flat is located right in the historical centre of barcelona in the area of gotico, 2 blocks from the sea and 1 min walk from the lower part of las ramblas. It's the most happening area in Barcelona, with easy and fast access to everything.","The flat is located two blocks from the sea, right in the heart of Barcelona, in the area of Gotico. The area is without doubt the most happening area in Barcelona, it offers great restaurants, a sparkling nightlife, a high concentration of museums and attractions, and it has something to offer for everyone, wether you are on a budget or not. For any members of the SOHO house who might be interested, the Barcelona one is situated about 2 minutes walk down the road.",https://a0.muscache.com/pictures/b4dd9551-b4fc-49b2-af51-c33bba34e79e.jpg,340570,https://www.airbnb.com/users/show/340570,Audun,2011-01-09,"Barcelona, Spain","I come from Norway, and ended up here in Barcelona via London. I work with music touring with bands, and I also have a recording studio next to park guell where I usually work when I'm in town, where guests are welcome to visit and use the facilities (5 recording rooms, Yamaha C7 grand piano etc etc.) I like keeping healthy, but don't mind a good party either. I would like to welcome you to my flat, and the community of flats here in this friendly neighbourhood. I can assure you an unforgettable holiday.",within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/28dbee3a-8fbc-42c7-b126-41ee0176c07c.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/28dbee3a-8fbc-42c7-b126-41ee0176c07c.jpg?aki_policy=profile_x_medium,El Gòtic,2,5,"['email', 'phone']",t,t,"Barcelona, Catalonia, Spain",el Barri Gòtic,Ciutat Vella,41.3806,2.17796,Entire vacation home,Entire home/apt,4,2.0,2 baths,2,0,"[""Oven"", ""Kitchen"", ""Fast wifi \u2013 167 Mbps"", ""Dryer"", ""TV with standard cable"", ""Cooking basics"", ""Patio or balcony"", ""Iron"", ""Washer"", ""Carbon monoxide alarm"", ""Dishes and silverware"", ""Smoking allowed"", ""Hair dryer"", ""Refrigerator"", ""Heating"", ""Coffee maker"", ""Dedicated workspace"", ""Essentials""]",$150.00,31,730,31,31,730,730,31.0,730.0,,t,9,21,51,326,2024-06-15,92,0,0,2011-04-25,2021-08-10,4.74,4.64,4.3,4.92,4.93,4.92,4.68,,f,2,2,0,0,0.57
288034,https://www.airbnb.com/rooms/288034,20240615011618,2024-06-15,city scrape,pb5 NICE BARCELONA QUIET & WITH TERRACE NICE FLAT,"Beautiful bright and sunny spacious ""ACOMODIS"" apartment with terrace ideally located in central Barcelona, in L'Eixample in a very nice and safe neighbourhood. This is a nice 1 bedroom ""ACOMODIS"" apartment with double sofa bed in the living room in a perfect location in the city!<br />""ACOMODIS"" apartments","""ACOMODIS"" apartment location<br />This unique area is rich in history, architecture, culture, and cuisine. Just a short distance to the trendy Passeig de Gràcia you will find, La Pedrera, Casa Batlló, and Casa Milà along with several upscale shops and restaurants.<br />On summer (July and August) a few meters away there is the ""Eixample beach"" where relax and refresh yourself. <br />Also, within walking distance there is the Mercat del Ninot, Passeig de Gràcia, Plaça Espanya, Magic Fountain... Even the beaches are only 15 minutes by metro.<br /><br />The location is truly ideal to enjoy all of the splendors Barcelona offers.<br /><br />Great shopping, excellent galleries and restaurants all around!",https://a0.muscache.com/pictures/63442235/a7da5a2f_original.jpg,1447144,https://www.airbnb.com/users/show/1447144,Acomodis Apartments,2011-11-27,"Barcelona, Spain","We are ""ACOMODIS"" apartments in Barcelona!
We are a Catalan and Venezuelan couple with 3 daughters and we started using airbnb as our personal account. But since we were getting more apartments to manage we founded our small “family agency” called “ACOMODIS”. We are part of a happy team and we all work full time managing short term rentals and organizing cooking activities. We absolutely love what we do and we are more than happy to meet amazing people from all around the world and ensure our guests enjoy this incredible city. We are happy when our guests are happy!
ACOMODIS APARTMENTS - Self-catering apartments in Barcelona - The easy and secure place to book quality vacation apartments. Always great deals, always great service from ACOMODIS!

Hola amigos,
In order to help you, I and my wife offer a wide variety of apartments in Barcelona to make it easier for you to enjoy a pleasant stay and experience.
In addition to trust us in regard to housing, we believe the most important is to have a nice experience and maximize what Barcelona has to offer. That's why we invite you to apply for any information you need before and during your stay to enjoy as ever. 
Also, if you want to enjoy a very special gastronomic activity do not hesitate to ask for information.
We speak English, French, Spanish, Catalan and on the telephone.
We are happy because we love what we do!",within a few hours,81%,19%,f,https://a0.muscache.com/im/pictures/user/f1ba627d-3c72-4140-8415-f63c7ca17a33.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/f1ba627d-3c72-4140-8415-f63c7ca17a33.jpg?aki_policy=profile_x_medium,El Poble-sec,212,393,"['email', 'phone']",t,t,"Barcelona, Catalonia, Spain",la Nova Esquerra de l'Eixample,Eixample,41.38839,2.15019,Entire rental unit,Entire home/apt,2,1.0,1 bath,1,2,"[""Kitchen"", ""Patio or balcony"", ""Host greets you"", ""Crib"", ""Extra pillows and blankets"", ""Hair dryer"", ""Long term stays allowed"", ""Coffee maker"", ""Essentials"", ""Cooking basics"", ""Washer"", ""Refrigerator"", ""Hangers"", ""Children\u2019s books and toys"", ""Dishwasher"", ""Iron"", ""Fire extinguisher"", ""Dishes and silverware"", ""Bed linens"", ""Wifi"", ""Heating"", ""Stove"", ""Hot water"", ""Paid parking off premises"", ""Oven"", ""Microwave"", ""High chair"", ""TV""]",$140.00,30,1125,30,30,1125,1125,30.0,1125.0,,t,30,60,90,365,2024-06-15,19,0,0,2012-04-18,2019-10-31,4.65,4.68,4.79,4.74,4.95,4.63,4.53,,f,207,207,0,0,0.13
288781,https://www.airbnb.com/rooms/288781,20240615011618,2024-06-15,city scrape,Private terrace in Old town,Penthouse with two private terraces 5 minutes from the Ramblas of Barcelona.,,https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6Mjg4Nzgx/original/5532ad4a-dfca-4553-9fdb-c19498158a53.jpeg,1411775,https://www.airbnb.com/users/show/1411775,Jeremies,2011-11-16,"Barcelona, Spain","We are Ok Apartment Barcelona, a local agency specialised in monthly rentals.  Our office is centraly located in Carrer Villarroel 1, close to Plaça Universitat. Find our webiste and look at a wide and cheaper offer of apartments.",within an hour,100%,88%,f,https://a0.muscache.com/im/pictures/user/1f974220-544b-4504-8031-461152ea288e.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/1f974220-544b-4504-8031-461152ea288e.jpg?aki_policy=profile_x_medium,La Sagrada Família,5,7,"['email', 'phone']",t,t,,el Raval,Ciutat Vella,41.37783,2.16624,Entire rental unit,Entire home/apt,2,2.0,2 baths,1,1,"[""Kitchen"", ""Cooking basics"", ""Hangers"", ""Dryer"", ""Washer"", ""Dishes and silverware"", ""Bed linens"", ""Extra pillows and blankets"", ""TV"", ""Refrigerator"", ""Microwave"", ""Heating"", ""Stove"", ""Coffee maker"", ""Dedicated workspace"", ""Essentials"", ""Hot water""]",$105.00,32,1125,32,32,1125,1125,32.0,1125.0,,t,29,59,89,364,2024-06-15,0,0,0,,,,,,,,,,,f,3,3,0,0,
290535,https://www.airbnb.com/rooms/290535,20240615011618,2024-06-15,city scrape,"vig1 Happy great location in El Born, old town!","vig HAPPY APARTMENT IN EL BORN IN THE OLD TOWN!<br />Beautiful charming & comfortable spacious 3 bedroom ""ACOMODIS"" apartment with 1 bathroom ideally located in central Barcelona, in El Born,  a very nice neighbourhood. This is a nice apartment in a perfect location in the city!<br />This rental has the exclusive purpose of meeting accommodation needs for leisure, vacation or recreational reasons for a minimum of 32 days and a maximum of 11 months, according to title III of the LAU on temporary rentals.",,https://a0.muscache.com/pictures/miso/Hosting-290535/original/76dd78e0-a02c-4b57-b5e5-99486d503908.jpeg,1447144,https://www.airbnb.com/users/show/1447144,Acomodis Apartments,2011-11-27,"Barcelona, Spain","We are ""ACOMODIS"" apartments in Barcelona!
We are a Catalan and Venezuelan couple with 3 daughters and we started using airbnb as our personal account. But since we were getting more apartments to manage we founded our small “family agency” called “ACOMODIS”. We are part of a happy team and we all work full time managing short term rentals and organizing cooking activities. We absolutely love what we do and we are more than happy to meet amazing people from all around the world and ensure our guests enjoy this incredible city. We are happy when our guests are happy!
ACOMODIS APARTMENTS - Self-catering apartments in Barcelona - The easy and secure place to book quality vacation apartments. Always great deals, always great service from ACOMODIS!

Hola amigos,
In order to help you, I and my wife offer a wide variety of apartments in Barcelona to make it easier for you to enjoy a pleasant stay and experience.
In addition to trust us in regard to housing, we believe the most important is to have a nice experience and maximize what Barcelona has to offer. That's why we invite you to apply for any information you need before and during your stay to enjoy as ever. 
Also, if you want to enjoy a very special gastronomic activity do not hesitate to ask for information.
We speak English, French, Spanish, Catalan and on the telephone.
We are happy because we love what we do!",within a few hours,81%,19%,f,https://a0.muscache.com/im/pictures/user/f1ba627d-3c72-4140-8415-f63c7ca17a33.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/f1ba627d-3c72-4140-8415-f63c7ca17a33.jpg?aki_policy=profile_x_medium,El Poble-sec,212,393,"['email', 'phone']",t,t,,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,41.38493,2.1809,Entire rental unit,Entire home/apt,6,1.0,1 bath,3,0,"[""Kitchen"", ""Washer"", ""Dishes and silverware"", ""Wifi"", ""Refrigerator"", ""Air conditioning"", ""Heating"", ""Coffee maker"", ""Dedicated workspace"", ""TV""]",$380.00,31,365,31,31,365,365,31.0,365.0,,t,7,37,67,342,2024-06-15,8,2,0,2012-05-03,2024-04-22,4.88,4.75,4.75,4.88,4.63,5.0,4.88,,f,207,207,0,0,0.05
71520,https://www.airbnb.com/rooms/71520,20240615011618,2024-06-15,city scrape,Charming apartment with fantastic views!,"Anita's is a cozy lodging located in the footstep of Mount Tibidabo, from where you will enjoy an incredible view of Barcelona from it's great terrace. Enjoy a good stay in a local neighbourhood, a relaxing and quiet area, only 20 minutes away from the center and near Collserola Park, where you can combine the Barcelona city attractions with nature activities and hikes.<br />We look for family groups, since it is a very quiet area with friendly neighbours.",,https://a0.muscache.com/pictures/e7c5ed00-3cbe-43e7-a669-c686e34257c9.jpg,366428,https://www.airbnb.com/users/show/366428,Ariadna,2011-01-28,"Barcelona, Spain","",a few days or more,0%,0%,f,https://a0.muscache.com/im/pictures/user/1fdddb74-1a88-4bd1-965e-9fb302d0f6c3.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/1fdddb74-1a88-4bd1-965e-9fb302d0f6c3.jpg?aki_policy=profile_x_medium,Vallcarca i els Penitents,1,2,"['email', 'phone']",t,f,,Vallcarca i els Penitents,Gràcia,41.41841,2.13307,Entire rental unit,Entire home/apt,9,3.5,3.5 baths,3,5,"[""Free street parking"", ""Kitchen"", ""Luggage dropoff allowed"", ""Hangers"", ""Host greets you"", ""City skyline view"", ""Sea view"", ""Iron"", ""Washer"", ""Crib"", ""Mountain view"", ""Hair dryer"", ""TV"", ""Wifi"", ""Heating"", ""High chair"", ""Shampoo"", ""Essentials"", ""Hot water""]",$350.00,5,28,5,5,28,28,5.0,28.0,,t,16,32,62,337,2024-06-15,1,0,0,2011-06-23,2011-06-23,5.0,4.0,5.0,5.0,5.0,4.0,5.0,HUTB-007966,f,1,1,0,0,0.01
291160,https://www.airbnb.com/rooms/291160,20240615011618,2024-06-15,city scrape,ica BEACH AREA - GREAT LOCATION - VILA OLÍMPICA!!!,"Beautiful charming and comfortable spacious duplex apartment located in central Barcelona, in La Vila Olímpica,  a very nice and safe neighbourhood. This is a nice 3 bedroom apartment with 2 bathrooms in a perfect location in the city!",,https://a0.muscache.com/pictures/3032324/98e04796_original.jpg,1447144,https://www.airbnb.com/users/show/1447144,Acomodis Apartments,2011-11-27,"Barcelona, Spain","We are ""ACOMODIS"" apartments in Barcelona!
We are a Catalan and Venezuelan couple with 3 daughters and we started using airbnb as our personal account. But since we were getting more apartments to manage we founded our small “family agency” called “ACOMODIS”. We are part of a happy team and we all work full time managing short term rentals and organizing cooking activities. We absolutely love what we do and we are more than happy to meet amazing people from all around the world and ensure our guests enjoy this incredible city. We are happy when our guests are happy!
ACOMODIS APARTMENTS - Self-catering apartments in Barcelona - The easy and secure place to book quality vacation apartments. Always great deals, always great service from ACOMODIS!

Hola amigos,
In order to help you, I and my wife offer a wide variety of apartments in Barcelona to make it easier for you to enjoy a pleasant stay and experience.
In addition to trust us in regard to housing, we believe the most important is to have a nice experience and maximize what Barcelona has to offer. That's why we invite you to apply for any information you need before and during your stay to enjoy as ever. 
Also, if you want to enjoy a very special gastronomic activity do not hesitate to ask for information.
We speak English, French, Spanish, Catalan and on the telephone.
We are happy because we love what we do!",within a few hours,81%,19%,f,https://a0.muscache.com/im/pictures/user/f1ba627d-3c72-4140-8415-f63c7ca17a33.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/f1ba627d-3c72-4140-8415-f63c7ca17a33.jpg?aki_policy=profile_x_medium,El Poble-sec,212,393,"['email', 'phone']",t,t,,la Vila Olímpica del Poblenou,Sant Martí,41.39383,2.19813,Entire rental unit,Entire home/apt,5,2.0,2 baths,2,5,"[""Cleaning products"", ""Kitchen"", ""Dryer"", ""Dining table"", ""Elevator"", ""Room-darkening shades"", ""Crib"", ""Extra pillows and blankets"", ""Hair dryer"", ""Air conditioning"", ""Long term stays allowed"", ""Clothing storage"", ""Essentials"", ""Hot water kettle"", ""Coffee maker"", ""Cooking basics"", ""Wine glasses"", ""Toaster"", ""Washer"", ""Private entrance"", ""Refrigerator"", ""Freezer"", ""Bathtub"", ""Hangers"", ""Dishwasher"", ""Iron"", ""Dishes and silverware"", ""Bed linens"", ""Wifi"", ""Heating"", ""Stove"", ""Hot water"", ""Paid parking off premises"", ""Oven"", ""Beach access \u2013 Beachfront"", ""Microwave"", ""High chair"", ""TV""]",$320.00,31,365,31,31,365,365,31.0,365.0,,t,30,60,90,365,2024-06-15,8,0,0,2012-02-11,2013-10-26,4.88,4.67,5.0,5.0,5.0,4.67,4.83,,f,207,207,0,0,0.05
71553,https://www.airbnb.com/rooms/71553,20240615011618,2024-06-15,city scrape,Best deals for penthouse near Sagrada Familia!,We have special prices on determinated weeks! Ask our staff for promotion dates. <br />PROMO BOOK 1WEEK 1 NIGHT FREE. ASK TO PROMOTION!!<br />Please contact the staff for further information.<br /><br />Pet fee (except service animals): 15 EUR per night.<br />There is 400 eur Extra Damage Deposit for peds .<br /><br />CHECK-IN & CHECK-OUT: ( written in house rules ) <br />TOURIST TAX : 5.50€ for each person <br />Extra charges :<br />-after 20:00: 25€ <br />-after 23:00: 40 €<br />-Arrivals and Departures on Sundays and holidays :<br />extra charge of 25€,"The neighborhood is really calm and quiet, though very close to the most important turistic attractions, like Sagrada Familia, Passeig de Gràcia, Arc de triomph.",https://a0.muscache.com/pictures/848b37fa-aa4f-43d6-9b57-6755fed71080.jpg,366654,https://www.airbnb.com/users/show/366654,Watermelon Barcelona Apartments,2011-01-28,"Barcelona, Spain","I have a lot of Travel and hosting experience.
I am a Publisher in Architecture & Interior Design books.",within an hour,100%,95%,f,https://a0.muscache.com/im/users/366654/profile_pic/1296302798/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/366654/profile_pic/1296302798/original.jpg?aki_policy=profile_x_medium,Dreta de l'Eixample,3,18,"['email', 'phone', 'work_email']",t,f,"Barcelona, Catalonia, Spain",la Dreta de l'Eixample,Eixample,41.39705,2.17469,Entire rental unit,Entire home/apt,2,1.5,1.5 baths,1,1,"[""Kitchen"", ""Dryer"", ""Host greets you"", ""Crib"", ""Hair dryer"", ""Air conditioning"", ""Long term stays allowed"", ""Coffee maker"", ""TV with standard cable"", ""Essentials"", ""Cooking basics"", ""Washer"", ""Refrigerator"", ""Shampoo"", ""Shared patio or balcony"", ""Luggage dropoff allowed"", ""Hangers"", ""BBQ grill"", ""Iron"", ""Dishes and silverware"", ""Smoking allowed"", ""Wifi"", ""Heating"", ""Hot water"", ""Paid parking off premises"", ""Outdoor furniture"", ""Smoke alarm"", ""Microwave"", ""High chair"", ""Stove"", ""Pets allowed"", ""Outdoor dining area""]",$186.00,3,1125,3,3,1125,1125,3.0,1125.0,,t,6,18,38,111,2024-06-15,82,5,0,2011-03-27,2024-04-21,4.23,4.1,4.47,4.45,4.61,4.56,4.14,HUTB-002424,t,3,3,0,0,0.51
295200,https://www.airbnb.com/rooms/295200,20240615011618,2024-06-15,city scrape,Amazing penthouse with private terrace,Charming one-bedroom Barcelona apartment will surround you with the true culture of the city while allowing you to enjoy everything the local area has to offer. It is also only a short metro ride to all the major attractions in the city center.<br /><br />There is one beautifully decorated bedroom with a double bed and access to a private terrace where you can soak up some Spanish sun.,"In the heart of the quirky Gràcia neighborhood, this charming Barcelona apartment will surround you with the true culture of the city while allowing you to enjoy everything the local area has to offer. It is also only a short metro ride to all the major attractions in the city center.",https://a0.muscache.com/pictures/3089548/3228073b_original.jpg,612665,https://www.airbnb.com/users/show/612665,Oscar,2011-05-22,"Barcelona, Spain","Me gusta mucho viajar y compartir experiencias con otras personas de todo el mundo.. Por supuesto también me encanta ir a la playa para tomar el sol y salir de tapas con mis amigos a tomar algo en alguna terraza por el barrio del Borne o  por el barrio de Gracia que es uno de mis favoritos por sus bonitas plazas llenas de  Restaurantes de tapas y buen ambiente. 

 Estaré encantado de recibir vuestra visita en cualquiera de mis apartamentos totalmente equipados para hacer que pasen una agradable estancia.

Saludos desde Barcelona!!

 ----------------------------------------

We welcome you to Barcelona, with a history of Phoenicians, Carthaginians, Arabs and Romans.. It is a cosmopolitan city, full of life, races and languages.

We invite you to explore the city by day and night, The Gothic Quarter, The Modernist Route, the magical Gaudi buildings, there are many things to discover and enjoy Barcelona.

Thank you for choosing any of my Airbnb apartments in Barcelona for your holidays,  Iwish you a great stay in Barcelona :-))",within an hour,100%,98%,t,https://a0.muscache.com/im/pictures/user/User-612665/original/22b2b033-fb72-4572-ac27-d80524504973.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-612665/original/22b2b033-fb72-4572-ac27-d80524504973.jpeg?aki_policy=profile_x_medium,Vila de Gràcia,7,10,"['email', 'phone']",t,t,"Barcelona, Catalonia, Spain",la Vila de Gràcia,Gràcia,41.40697,2.16106,Entire loft,Entire home/apt,3,1.0,1 bath,1,0,"[""Pack \u2019n play/Travel crib"", ""Window guards"", ""Free street parking"", ""Cleaning products"", ""Kitchen"", ""Host greets you"", ""City skyline view"", ""Elevator"", ""Room-darkening shades"", ""AEG electric stove"", ""Crib"", ""Extra pillows and blankets"", ""Hair dryer"", ""AC - split type ductless system"", ""Books and reading material"", ""Coffee maker"", ""Essentials"", ""Hot water kettle"", ""Private patio or balcony"", ""Long term stays allowed"", ""Cleaning available during stay"", ""Cooking basics"", ""Wine glasses"", ""Toaster"", ""Blender"", ""Refrigerator"", ""Pocket wifi"", ""Freezer"", ""Paid parking on premises"", ""Drying rack for clothing"", "". body soap"", ""Hangers"", ""Free washer \u2013 In unit"", ""Iron"", ""Dishes and silverware"", ""Laundromat nearby"", ""Shower gel"", ""Bed linens"", ""Mountain view"", ""Wifi"", ""Heating"", ""HDTV with standard cable"", ""Dedicated workspace"", ""Coffee"", ""Paid parking off premises"", ""Hammock"", ""Clothing storage: wardrobe"", ""Microwave"", ""High chair"", ""Hot water"", ""Safe""]",$201.00,3,150,2,4,1125,1125,3.2,1125.0,,t,2,4,12,124,2024-06-15,260,31,2,2012-01-22,2024-05-21,4.7,4.78,4.72,4.62,4.74,4.84,4.62,HUTB-012627,f,4,4,0,0,1.72
71736,https://www.airbnb.com/rooms/71736,20240615011618,2024-06-15,city scrape,Long term entire months more than 32 nitghts,"MINIMUM STAY 1 MONTH,AVALAIBLE IN AUGUST Ask for offers Fantastic modernistic apartment Located in the heart of Barcelona. AVALAIBLE  FOR FAMILYS,  STUDENTS, WORKERS, CONTACT THE OWNER. Joaquin Costa Ramblas The apartment was renovated and decorated Carefully in an Appropriate mixture of modern and charming old-fashioned style. On the one hand, There are wonderful mosaic floors and the ceilings high wooden balks with STIs. On the other hand, the apartment features modern furniture and equip.","The neighborhood is multicultural, located in the center of the city, next to the central university. <br />You have incredible places like romantic restaurants, yoga, dance, or dance venues.<br />Fantastic neighborhood to enjoy a happy stay in the city",https://a0.muscache.com/pictures/miso/Hosting-71736/original/1848fbb2-822e-4dbf-8949-e1412e1081ce.png,368317,https://www.airbnb.com/users/show/368317,Nacharosa,2011-01-30,"Barcelona, Spain","Soy Economista, vivo en Barcelona, y me dedico al mundo de las finanzas.

El hecho de recibir estudiantes y trabajadores en mis apartamentos, me hace sentir muy feliz, ya que me encanta intercambiar vivencias con personas de otros países.",within a day,63%,12%,f,https://a0.muscache.com/im/users/368317/profile_pic/1322342102/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/368317/profile_pic/1322342102/original.jpg?aki_policy=profile_x_medium,El Raval,6,8,"['email', 'phone']",t,t,"Barcelona, Catalunya, Spain",el Raval,Ciutat Vella,41.38174,2.16663,Entire rental unit,Entire home/apt,4,1.5,1.5 baths,4,5,"[""Kitchen"", ""Host greets you"", ""Hair dryer"", ""Air conditioning"", ""Long term stays allowed"", ""Coffee maker"", ""Private patio or balcony"", ""Cooking basics"", ""Washer"", ""Baby bath"", ""Refrigerator"", ""Pocket wifi"", ""Paid parking on premises"", ""Hangers"", ""Children\u2019s books and toys"", ""Iron"", ""Dishes and silverware"", ""Smoking allowed"", ""Wifi"", ""Heating"", ""Dedicated workspace"", ""Paid parking off premises"", ""Oven"", ""Babysitter recommendations"", ""Microwave"", ""High chair"", ""Hot water""]",$70.00,28,730,28,28,730,730,28.0,730.0,,t,0,13,43,318,2024-06-15,10,1,1,2011-05-08,2024-05-31,3.88,3.86,3.43,4.0,3.86,4.14,4.0,,f,6,6,0,0,0.06
